"elev","area","depth"
28.2,226410,5
27.7,221495,4.5
27.2,216859,4
26.7,212176,3.5
26.2,207148,3
25.7,201723,2.5
25.2,195117,2
24.7,188027,1.5
24.2,178258,1
23.7,163979,0.5
23.2,153648,0
23,151498.83,-0.2
22.8,149349.67,-0.4
22.6,147599.6,-0.6
22.4,146115.6,-0.8
22.2,144631,-1
22,143141,-1.2
21.8,141651,-1.4
21.6,140039.08,-1.6
21.4,138345.88,-1.8
21.2,136651.52,-2
21,134946.72,-2.2
20.8,133241.92,-2.4
20.6,131489.12,-2.6
20.4,129704.32,-2.8
20.2,127903.56,-3
20,125959.16,-3.2
19.8,124014.76,-3.4
19.6,121996.2,-3.6
19.4,119928.2,-3.8
19.2,117842.72,-4
19,115599.92,-4.2
18.8,113357.12,-4.4
18.6,110964.8,-4.6
18.4,108472.8,-4.8
18.2,105972.16,-5
17.7,99559.52,-5.5
17.2,93909.44,-6
16.7,87340.84,-6.5
16.2,80698.48,-7
15.7,74950.84,-7.5
15.2,69531.08,-8
14.7,63128.48,-8.5
14.2,56626.44,-9
13.7,50400.88,-9.5
13.2,44561.48,-10
12.7,40193.24,-10.5
12.2,34464.4,-11
11.7,27829.2,-11.5
11.2,19516.36,-12
10.7,11370.16,-12.5
10.2,3292.8,-13
9.72,0,-13.48
